product_name,sugar_g,carbs_g,calories,sodium_mg,fat_g,age_group,bmi_category,diabetes_type,label
Susu ultra milk rasa coklat 200 ml,0.0,24.0,160.0,45.0,4.0,elderly,normal,2,Caution
Susu ultra milk rasa coklat 200 ml,0.0,24.0,160.0,45.0,4.0,child,normal,1,Caution
Susu ultra milk rasa coklat 200 ml,0.0,24.0,160.0,45.0,4.0,child,normal,0,Recommended
Frisian flag putih (kental manis),19.0,23.0,140.0,0.0,4.0,adult,normal,0,Caution
Frisian flag putih (kental manis),19.0,23.0,140.0,0.0,4.0,adult,overweight,0,Caution
Frisian flag putih (kental manis),19.0,23.0,140.0,0.0,4.0,adult,normal,1,Not Recommended
Frisian flag putih (kental manis),19.0,23.0,140.0,0.0,4.0,adult,overweight,2,Not Recommended
Frisian flag putih (kental manis),19.0,23.0,140.0,0.0,4.0,elderly,normal,2,Not Recommended
Frisian flag putih (kental manis),19.0,23.0,140.0,0.0,4.0,child,normal,1,Not Recommended
Frisian flag putih (kental manis),19.0,23.0,140.0,0.0,4.0,child,normal,0,Caution
Sedaap Kecap Manis,13.0,16.0,70.0,290.0,0.0,adult,normal,0,Recommended
Sedaap Kecap Manis,13.0,16.0,70.0,290.0,0.0,adult,overweight,0,Caution
Sedaap Kecap Manis,13.0,16.0,70.0,290.0,0.0,adult,normal,1,Not Recommended
Sedaap Kecap Manis,13.0,16.0,70.0,290.0,0.0,adult,overweight,2,Not Recommended
Sedaap Kecap Manis,13.0,16.0,70.0,290.0,0.0,elderly,normal,2,Not Recommended
Sedaap Kecap Manis,13.0,16.0,70.0,290.0,0.0,child,normal,1,Not Recommended
Sedaap Kecap Manis,13.0,16.0,70.0,290.0,0.0,child,normal,0,Caution
Outback steackhouse slow roasted prime rib,0.0,0.0,700.0,0.0,57.0,adult,normal,0,Caution
Outback steackhouse slow roasted prime rib,0.0,0.0,700.0,0.0,57.0,adult,overweight,0,Caution
Outback steackhouse slow roasted prime rib,0.0,0.0,700.0,0.0,57.0,adult,normal,1,Caution
Outback steackhouse slow roasted prime rib,0.0,0.0,700.0,0.0,57.0,adult,overweight,2,Not Recommended
Outback steackhouse slow roasted prime rib,0.0,0.0,700.0,0.0,57.0,elderly,normal,2,Not Recommended
Outback steackhouse slow roasted prime rib,0.0,0.0,700.0,0.0,57.0,child,normal,1,Caution
Outback steackhouse slow roasted prime rib,0.0,0.0,700.0,0.0,57.0,child,normal,0,Caution
Es krim Diamond vanilla,9.0,12.0,110.0,0.0,6.0,adult,normal,0,Recommended
Es krim Diamond vanilla,9.0,12.0,110.0,0.0,6.0,adult,overweight,0,Recommended
Es krim Diamond vanilla,9.0,12.0,110.0,0.0,6.0,adult,normal,1,Caution
Es krim Diamond vanilla,9.0,12.0,110.0,0.0,6.0,adult,overweight,2,Caution
Es krim Diamond vanilla,9.0,12.0,110.0,0.0,6.0,elderly,normal,2,Caution
Es krim Diamond vanilla,9.0,12.0,110.0,0.0,6.0,child,normal,1,Caution
Es krim Diamond vanilla,9.0,12.0,110.0,0.0,6.0,child,normal,0,Recommended
"Genjer, segar",0.0,7.7,35.0,64.0,0.2,adult,normal,0,Recommended
"Genjer, segar",0.0,7.7,35.0,64.0,0.2,adult,overweight,0,Recommended
"Genjer, segar",0.0,7.7,35.0,64.0,0.2,adult,normal,1,Recommended
"Genjer, segar",0.0,7.7,35.0,64.0,0.2,adult,overweight,2,Recommended
"Genjer, segar",0.0,7.7,35.0,64.0,0.2,elderly,normal,2,Recommended
"Genjer, segar",0.0,7.7,35.0,64.0,0.2,child,normal,1,Recommended
"Genjer, segar",0.0,7.7,35.0,64.0,0.2,child,normal,0,Recommended
"Taoge kacang kedelai, segar",0.0,6.4,76.0,5.0,2.6,adult,normal,0,Recommended
"Taoge kacang kedelai, segar",0.0,6.4,76.0,5.0,2.6,adult,overweight,0,Recommended
